duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,library
1.735358,3.172119,2.168213,0.005188,0.957947,100Kb,wand
1.630164,3.309753,2.240723,0.005188,0.905762,100Kb,wand
1.733033,3.291443,2.230896,0.005188,0.961304,100Kb,wand
1.424435,2.873413,1.933533,0.005188,0.796692,100Kb,wand
1.733021,3.561401,2.403931,0.004700,0.980469,100Kb,wand
1.630114,3.114624,2.162048,0.004700,0.891663,100Kb,wand
1.629676,3.084595,2.078369,0.004700,0.903015,100Kb,wand
1.732752,3.382996,2.255188,0.004700,0.958801,100Kb,wand
1.727370,3.374207,2.300659,0.004700,0.963318,100Kb,wand
1.937788,3.627441,2.431335,0.004700,1.069275,100Kb,wand
1.630035,3.142883,2.115234,0.004700,0.902222,100Kb,wand
1.629456,3.000549,2.072327,0.004700,0.897278,100Kb,wand
1.834747,3.291199,2.195984,0.004700,1.009094,100Kb,wand
6.750494,9.958435,6.079041,0.004700,3.649536,100Kb,wand
2.128814,3.741882,2.429688,0.004700,1.169739,100Kb,wand
1.731628,3.210449,2.157349,0.004700,0.958923,100Kb,wand
1.522771,2.947205,1.950623,0.004700,0.842285,100Kb,wand
1.732145,3.146118,2.109497,0.004700,0.959656,100Kb,wand
1.628343,3.081726,2.086670,0.004700,0.905579,100Kb,wand
1.634313,3.370117,2.308105,0.004700,0.915710,100Kb,wand
1.629942,3.067383,2.067261,0.004700,0.902710,100Kb,wand
1.628799,3.556702,2.572571,0.004700,0.907288,100Kb,wand
1.731135,3.246521,2.193909,0.004700,0.957581,100Kb,wand
1.736446,3.552063,2.427551,0.005188,0.983765,100Kb,wand
1.936878,3.583740,2.350769,0.005371,1.080444,100Kb,wand
1.629657,3.102661,2.114136,0.005371,0.900757,100Kb,wand
1.733552,3.378906,2.269470,0.005371,0.954468,100Kb,wand
1.425037,2.715088,1.879211,0.005371,0.783508,100Kb,wand
1.629433,3.215576,2.176819,0.005371,0.897583,100Kb,wand
1.732969,3.279724,2.241333,0.005371,0.962830,100Kb,wand
1.732323,3.305176,2.191223,0.005371,0.956848,100Kb,wand
1.628123,3.099609,2.112854,0.005371,0.901733,100Kb,wand
1.630094,3.122131,2.073669,0.005371,0.904846,100Kb,wand
1.937789,3.531250,2.366882,0.005371,1.059265,100Kb,wand
1.834515,3.514893,2.370911,0.005371,1.015320,100Kb,wand
1.424481,2.846619,1.959595,0.005371,0.793091,100Kb,wand
1.528794,4.090210,2.992249,0.005371,0.839661,100Kb,wand
1.715054,5.957275,4.428772,0.005371,0.930908,100Kb,wand
1.748176,3.280090,2.178894,0.005371,0.971741,100Kb,wand
1.628602,3.226135,2.182434,0.005371,0.905029,100Kb,wand
1.832858,3.405029,2.255188,0.005371,1.013306,100Kb,wand
1.834503,3.377380,2.305603,0.005371,1.015076,100Kb,wand
1.732609,3.147156,2.109924,0.005371,0.953125,100Kb,wand
1.526561,3.154907,2.191284,0.005371,0.855347,100Kb,wand
1.731949,3.617554,2.476013,0.005371,0.985291,100Kb,wand
1.630713,9.813416,8.271851,0.005371,1.095764,100Kb,wand
2.242553,8.131958,6.245300,0.058838,1.402832,100Kb,pygame
2.047470,7.303345,5.655029,0.017456,1.224365,100Kb,pygame
2.033580,4.012085,2.512451,0.013672,1.153442,100Kb,pygame
1.732523,3.732605,2.440735,0.012878,1.000671,100Kb,pygame
1.835950,3.963501,2.562500,0.014404,1.061401,100Kb,pygame
1.730517,3.689758,2.319763,0.014282,1.002991,100Kb,pygame
1.609566,3.349731,2.177734,0.012024,0.930176,100Kb,pygame
1.853901,3.827271,2.454346,0.014832,1.070496,100Kb,pygame
1.929393,3.853027,2.433472,0.013977,1.094421,100Kb,pygame
1.829506,3.672791,2.349182,0.014465,1.046875,100Kb,pygame
1.835541,3.768311,2.446228,0.015137,1.060181,100Kb,pygame
1.731511,3.525940,2.278259,0.014282,0.994202,100Kb,pygame
1.835258,3.677795,2.341797,0.017883,1.064453,100Kb,pygame
1.835054,3.728455,2.378845,0.015625,1.052063,100Kb,pygame
1.835328,3.706482,2.368164,0.015747,1.047302,100Kb,pygame
1.629728,3.447693,2.243896,0.015320,0.947876,100Kb,pygame
1.834871,3.748901,2.398254,0.013855,1.057251,100Kb,pygame
2.040037,4.091980,2.634705,0.015564,1.174561,100Kb,pygame
1.733401,3.474121,2.241211,0.014404,0.997803,100Kb,pygame
1.936197,3.873535,2.483826,0.014221,1.109985,100Kb,pygame
1.836379,3.765686,2.398865,0.019714,1.060547,100Kb,pygame
1.632458,3.440369,2.266235,0.010803,0.938293,100Kb,pygame
1.836525,3.904785,2.501526,0.014221,1.061584,100Kb,pygame
1.630837,3.743408,2.409302,0.017883,0.968628,100Kb,pygame
1.730831,3.694519,2.401184,0.015442,0.998657,100Kb,pygame
1.935769,3.787659,2.404846,0.013916,1.108093,100Kb,pygame
1.935421,3.827332,2.418579,0.014587,1.103210,100Kb,pygame
1.823323,3.705139,2.482483,0.009155,1.040588,100Kb,pygame
1.747794,3.221191,2.100647,0.009155,0.958130,100Kb,pygame
1.937344,3.523071,2.329468,0.009155,1.065063,100Kb,pygame
1.829310,3.294678,2.140259,0.009155,1.008240,100Kb,pygame
1.732433,3.369812,2.258179,0.009155,0.959106,100Kb,pygame
1.835172,3.457031,2.272522,0.009155,1.014526,100Kb,pygame
1.730708,3.362488,2.249084,0.009155,0.956116,100Kb,pygame
2.036256,3.864929,2.573853,0.009155,1.141418,100Kb,pygame
1.935412,3.586853,2.404724,0.009155,1.066162,100Kb,pygame
1.835133,3.408875,2.265930,0.009155,1.013245,100Kb,pygame
1.630359,3.339844,2.254456,0.009155,0.924561,100Kb,pygame
1.731972,3.233887,2.153748,0.009155,0.948853,100Kb,pygame
1.733034,3.282166,2.164734,0.009155,0.955811,100Kb,pygame
1.937610,3.726379,2.453979,0.009155,1.070312,100Kb,pygame
1.833217,3.434570,2.252808,0.009155,1.011902,100Kb,pygame
1.734391,3.424316,2.254700,0.009155,0.965759,100Kb,pygame
1.936924,3.607361,2.364502,0.009155,1.066406,100Kb,pygame
1.737457,3.418152,2.333496,0.009155,0.961548,100Kb,pygame
2.037216,3.881775,2.498413,0.005554,1.136414,100Kb,pygame
2.039986,3.680603,2.443604,0.005554,1.123047,100Kb,pygame
1.937930,3.564331,2.417664,0.005554,1.067505,100Kb,pygame
1.629311,3.184998,2.100220,0.005554,0.900085,100Kb,pygame
1.936385,3.661804,2.377930,0.005554,1.067017,100Kb,pygame
1.835185,3.432861,2.308960,0.005554,1.013367,100Kb,pygame
1.730876,3.382263,2.212769,0.005554,0.954895,100Kb,pygame
1.834737,3.455261,2.252197,0.005554,1.009399,100Kb,pygame
