compute_time,download_size,download_time,video,library,upload_size,upload_time
1.3314,1000002,2.54748,1Mb,opencv,7932321,7.908267
1.346487,1000002,2.654885,1Mb,opencv,7932321,9.967444
1.357494,1000002,1.549011,1Mb,opencv,7932321,8.698796
1.344303,1000002,2.384265,1Mb,opencv,7932321,5.337318
1.349305,1000002,2.294681,1Mb,opencv,7932321,9.830361
1.353567,1000002,2.80931,1Mb,opencv,7932321,8.652282
1.336387,1000002,2.442164,1Mb,opencv,7932321,4.018171
1.34196,1000002,2.381527,1Mb,opencv,7932321,9.953542
1.350219,1000002,3.109231,1Mb,opencv,7932321,3.850164
1.364424,1000002,2.516401,1Mb,opencv,7932321,4.160575
1.357556,1000002,2.466444,1Mb,opencv,7932321,5.396747
1.370137,1000002,1.822187,1Mb,opencv,7932321,3.904407
1.361294,1000002,2.24385,1Mb,opencv,7932321,9.45862
1.341003,1000002,2.999237,1Mb,opencv,7932321,3.946011
1.341245,1000002,2.532128,1Mb,opencv,7932321,4.357708
1.339408,1000002,2.831197,1Mb,opencv,7932321,9.912677
1.346735,1000002,2.480029,1Mb,opencv,7932321,7.334192
1.355572,1000002,2.57307,1Mb,opencv,7932321,9.927019
1.338525,1000002,2.81529,1Mb,opencv,7932321,6.100695
1.368645,1000002,3.177492,1Mb,opencv,7932321,4.785148
1.339371,1000002,2.341622,1Mb,opencv,7932321,8.058236
1.340579,1000002,1.508708,1Mb,opencv,7932321,6.064575
1.366928,1000002,2.335764,1Mb,opencv,7932321,3.759806
1.342894,1000002,2.579017,1Mb,opencv,7932321,8.898561
1.336221,1000002,3.096672,1Mb,opencv,7932321,7.858349
0.218292,36710,1.257711,36Kb,moviepy,971337,3.065487
0.234508,36710,1.073908,36Kb,moviepy,971337,1.68209
0.219869,36710,1.067001,36Kb,moviepy,971337,3.433717
0.216493,36710,1.010723,36Kb,moviepy,971337,4.239618
0.219782,36710,1.023962,36Kb,moviepy,971337,3.263517
0.218725,36710,0.973436,36Kb,moviepy,971337,4.594873
0.215634,36710,1.28603,36Kb,moviepy,971337,3.531973
0.216213,36710,1.11554,36Kb,moviepy,971337,3.42699
0.217516,36710,1.020951,36Kb,moviepy,971337,1.930084
0.220364,36710,0.982296,36Kb,moviepy,971337,2.929539
0.220206,36710,1.202295,36Kb,moviepy,971337,4.32516
0.217998,36710,1.042809,36Kb,moviepy,971337,3.242543
0.217821,36710,0.997984,36Kb,moviepy,971337,3.077325
0.21542,36710,1.05974,36Kb,moviepy,971337,2.979937
0.221679,36710,1.060166,36Kb,moviepy,971337,4.691346
0.216511,36710,0.979927,36Kb,moviepy,971337,5.106031
0.217811,36710,1.081329,36Kb,moviepy,971337,4.695008
0.216539,36710,0.980105,36Kb,moviepy,971337,3.237473
0.218522,36710,1.108541,36Kb,moviepy,971337,2.785182
0.218503,36710,0.89123,36Kb,moviepy,971337,3.561385
0.218775,36710,0.971697,36Kb,moviepy,971337,1.889732
