compute_time,download_size,download_time,image,library,upload_size,upload_time
0.113215,100000,1.286676,100Kb,pygame,2134,0.498019
0.113268,100000,1.18144,100Kb,pygame,2134,0.496617
0.126076,100000,1.186607,100Kb,pygame,2134,0.484403
0.128472,100000,1.142443,100Kb,pygame,2134,0.42083
0.129588,100000,1.183083,100Kb,pygame,2134,0.484194
0.113268,100000,1.15517,100Kb,pygame,2134,0.426596
0.132976,100000,1.1306,100Kb,pygame,2134,0.429635
0.112929,100000,1.140257,100Kb,pygame,2134,0.440866
0.125188,100000,1.255461,100Kb,pygame,2134,0.413413
0.113275,100000,1.188212,100Kb,pygame,2134,0.39346
0.128551,100000,1.38476,100Kb,pygame,2134,0.490008
0.113208,100000,1.183087,100Kb,pygame,2134,0.495432
0.112908,100000,1.287676,100Kb,pygame,2134,0.497354
0.113105,100000,1.001988,100Kb,pygame,2134,0.390248
0.11314,100000,1.631755,100Kb,pygame,2134,0.444094
0.113296,100000,1.127996,100Kb,pygame,2134,0.452251
0.113161,100000,1.387403,100Kb,pygame,2134,0.498778
0.113159,100000,1.328469,100Kb,pygame,2134,0.45434
0.113909,100000,1.115043,100Kb,pygame,2134,0.438433
0.113223,100000,1.122804,100Kb,pygame,2134,0.45873
0.126771,100000,1.188952,100Kb,pygame,2134,0.481959
0.126529,100000,1.204839,100Kb,pygame,2134,0.33807
0.133092,100000,1.15225,100Kb,pygame,2134,0.407531
0.113023,100000,1.284562,100Kb,pygame,2134,0.397968
0.112961,100000,1.285227,100Kb,pygame,2134,0.496632
0.113235,100000,1.488385,100Kb,pygame,2134,0.399664
0.113142,100000,1.187957,100Kb,pygame,2134,0.402929
0.113305,100000,1.176522,100Kb,pygame,2134,0.500454
0.113109,100000,1.127278,100Kb,pygame,2134,0.454366
0.125561,100000,1.18966,100Kb,pygame,2134,0.381077
0.032222,100000,1.103328,100Kb,opencv,3214,0.446543
0.030658,100000,1.155007,100Kb,opencv,3214,0.407765
0.002886,100000,1.386915,100Kb,opencv,3214,0.406633
0.002553,100000,1.152546,100Kb,opencv,3214,0.543805
0.002559,100000,1.60351,100Kb,opencv,3214,0.393137
0.002558,100000,1.389319,100Kb,opencv,3214,0.402373
0.002551,100000,1.131427,100Kb,opencv,3214,0.459446
0.002532,100000,1.126376,100Kb,opencv,3214,0.463734
0.002557,100000,1.289658,100Kb,opencv,3214,0.402374
0.002514,100000,1.229541,100Kb,opencv,3214,0.360544
0.002548,100000,1.106678,100Kb,opencv,3214,0.377114
0.002529,100000,1.129968,100Kb,opencv,3214,0.460234
0.002544,100000,1.130873,100Kb,opencv,3214,0.456668
0.002543,100000,1.287018,100Kb,opencv,3214,0.40217
0.002523,100000,1.122267,100Kb,opencv,3214,0.5671
0.002514,100000,1.189348,100Kb,opencv,3214,0.402068
0.002546,100000,1.138151,100Kb,opencv,3214,0.349612
0.002552,100000,1.034783,100Kb,opencv,3214,0.412093
0.002543,100000,1.121541,100Kb,opencv,3214,0.403533
0.00254,100000,1.157016,100Kb,opencv,3214,0.431186
0.002536,100000,1.186273,100Kb,opencv,3214,0.401894
0.002557,100000,1.187253,100Kb,opencv,3214,0.403089
0.002555,100000,1.069284,100Kb,opencv,3214,0.519124
0.00255,100000,1.288949,100Kb,opencv,3214,0.401806
0.002591,100000,1.056593,100Kb,opencv,3214,0.429847
0.002522,100000,1.102456,100Kb,opencv,3214,0.379489
0.00253,100000,1.318194,100Kb,opencv,3214,0.38744
0.002805,100000,1.230584,100Kb,opencv,3214,0.440302
0.002575,100000,1.262251,100Kb,opencv,3214,0.428082
0.002582,100000,1.389934,100Kb,opencv,3214,0.40821
0.00254,100000,1.132497,100Kb,opencv,3214,0.457373
0.002562,100000,1.037615,100Kb,opencv,3214,0.347063
0.002571,100000,1.127365,100Kb,opencv,3214,0.358734
0.002588,100000,1.121891,100Kb,opencv,3214,0.465125
0.002522,100000,1.252635,100Kb,opencv,3214,0.439983
0.002581,100000,1.228577,100Kb,opencv,3214,0.462234
0.002547,100000,1.119426,100Kb,opencv,3214,0.465363
0.002601,100000,1.129763,100Kb,opencv,3214,0.458856
0.002558,100000,1.301183,100Kb,opencv,3214,0.465366
0.002568,100000,1.11423,100Kb,opencv,3214,0.373297
0.002546,100000,1.345418,100Kb,opencv,3214,0.450426
0.002544,100000,1.201931,100Kb,opencv,3214,0.467144
0.002533,100000,1.185569,100Kb,opencv,3214,0.339635
0.002533,100000,1.347779,100Kb,opencv,3214,0.407357
0.002542,100000,1.225967,100Kb,opencv,3214,0.465612
0.002547,100000,1.189904,100Kb,opencv,3214,0.400205
0.002546,100000,1.28495,100Kb,opencv,3214,0.401847
0.002561,100000,1.391677,100Kb,opencv,3214,0.400573
0.00256,100000,1.313542,100Kb,opencv,3214,0.370438
0.002527,100000,1.198953,100Kb,opencv,3214,0.401609
0.002517,100000,1.493334,100Kb,opencv,3214,0.403499
0.002553,100000,1.186317,100Kb,opencv,3214,0.40068
0.002589,100000,1.390319,100Kb,opencv,3214,0.401657
0.002545,100000,1.227592,100Kb,opencv,3214,0.362906
0.002519,100000,1.189288,100Kb,opencv,3214,0.401124
0.002602,100000,1.389625,100Kb,opencv,3214,0.402502
0.002621,100000,1.086194,100Kb,opencv,3214,0.504659
0.002616,100000,1.06471,100Kb,opencv,3214,0.421853
0.002589,100000,1.290452,100Kb,opencv,3214,0.40243
0.002553,100000,1.215646,100Kb,opencv,3214,0.375197
0.002609,100000,1.179252,100Kb,opencv,3214,0.411089
0.002514,100000,1.324289,100Kb,opencv,3214,0.463437
0.002571,100000,1.104911,100Kb,opencv,3214,0.383338
0.002515,100000,1.034637,100Kb,opencv,3214,0.451392
0.002516,100000,1.188768,100Kb,opencv,3214,0.401242
0.002566,100000,1.494181,100Kb,opencv,3214,0.505058
0.002535,100000,1.225605,100Kb,opencv,3214,0.364621
0.002653,100000,1.187785,100Kb,opencv,3214,0.401306
0.002561,100000,1.191667,100Kb,opencv,3214,0.504187
0.002544,100000,1.13407,100Kb,opencv,3214,0.454396
0.002561,100000,1.127673,100Kb,opencv,3214,0.461758
0.002533,100000,1.136321,100Kb,opencv,3214,0.455469
0.002573,100000,1.129957,100Kb,opencv,3214,0.459289
0.002559,100000,1.13435,100Kb,opencv,3214,0.454184
0.002574,100000,1.291174,100Kb,opencv,3214,0.504613
0.002546,100000,1.329617,100Kb,opencv,3214,0.464022
0.002551,100000,1.126365,100Kb,opencv,3214,0.463732
0.00252,100000,1.187551,100Kb,opencv,3214,0.401344
0.00259,100000,1.186157,100Kb,opencv,3214,0.401309
0.0026,100000,1.129152,100Kb,opencv,3214,0.458588
0.002549,100000,1.900564,100Kb,opencv,3214,0.405522
0.002583,100000,1.189253,100Kb,opencv,3214,0.401699
0.002553,100000,1.186578,100Kb,opencv,3214,0.401234
0.002564,100000,1.188276,100Kb,opencv,3214,0.401119
0.002536,100000,1.497818,100Kb,opencv,3214,0.504451
0.002581,100000,1.135444,100Kb,opencv,3214,0.55717
0.002532,100000,1.186151,100Kb,opencv,3214,0.400908
0.002591,100000,1.189202,100Kb,opencv,3214,0.401445
